image,rms_px
IMG_3913.jpeg,0.363836
IMG_3914.jpeg,0.615400
IMG_3915.jpeg,0.917235
IMG_3916.jpeg,0.492833
IMG_3917.jpeg,0.451343
IMG_3918.jpeg,0.377292
IMG_3920.jpeg,3.721661
IMG_3921.jpeg,7.475470
IMG_3922.jpeg,2.303753
IMG_3923.jpeg,1.222996
IMG_3925.jpeg,0.408746
IMG_3926.jpeg,0.656307
IMG_3927.jpeg,0.546048
IMG_3928.jpeg,0.731965
IMG_3929.jpeg,0.433567
IMG_3930.jpeg,0.792917
IMG_3931.jpeg,0.669299
IMG_3932.jpeg,0.533383
IMG_3933.jpeg,0.449870
IMG_3934.jpeg,0.677552
IMG_3935.jpeg,0.533240
IMG_3936.jpeg,0.421672
IMG_3937.jpeg,0.458267
IMG_3938.jpeg,0.703546
